age,adviser,lapse_rate
20,1,0.2
20,2,0.2
20,3,0.2
21,1,0.209
21,2,0.209
21,3,0.208
22,1,0.218
22,2,0.219
22,3,0.216
23,1,0.226
23,2,0.229
23,3,0.225
24,1,0.235
24,2,0.239
24,3,0.235
25,1,0.245
25,2,0.25
25,3,0.245
26,1,0.255
26,2,0.26
26,3,0.258
27,1,0.265
27,2,0.27
27,3,0.272
28,1,0.275
28,2,0.28
28,3,0.284
29,1,0.287
29,2,0.29
29,3,0.291
30,1,0.3
30,2,0.3
30,3,0.299
31,1,0.313
31,2,0.31
31,3,0.307
32,1,0.327
32,2,0.321
32,3,0.315
33,1,0.342
33,2,0.332
33,3,0.323
34,1,0.358
34,2,0.342
34,3,0.332
35,1,0.37
35,2,0.353
35,3,0.341
36,1,0.38
36,2,0.365
36,3,0.349
37,1,0.388
37,2,0.376
37,3,0.359
38,1,0.391
38,2,0.381
38,3,0.372
39,1,0.394
39,2,0.389
39,3,0.386
40,1,0.4
40,2,0.4
40,3,0.402
41,1,0.411
41,2,0.416
41,3,0.577
42,1,0.421
42,2,0.433
42,3,0.735
43,1,0.43
43,2,0.451
43,3,0.849
44,1,0.441
44,2,0.454
44,3,0.919
45,1,0.452
45,2,0.455
45,3,0.959
46,1,0.462
46,2,0.463
46,3,0.979
47,1,0.47
47,2,0.468
47,3,0.99
48,1,0.481
48,2,0.477
48,3,0.995
49,1,0.491
49,2,0.488
49,3,0.997
50,1,0.5
50,2,0.499
50,3,0.999
51,1,0.503
51,2,0.506
51,3,0.999
52,1,0.507
52,2,0.514
52,3,0.999
53,1,0.514
53,2,0.522
53,3,1.0
54,1,0.523
54,2,0.533
54,3,1.0
55,1,0.532
55,2,0.545
55,3,1.0
56,1,0.542
56,2,0.556
56,3,1.0
57,1,0.551
57,2,0.567
57,3,1.0
58,1,0.563
58,2,0.579
58,3,1.0
59,1,0.58
59,2,0.59
59,3,1.0
60,1,0.6
60,2,0.601
60,3,1.0
61,1,0.626
61,2,0.637
61,3,1.0
62,1,0.653
62,2,0.679
62,3,1.0
63,1,0.683
63,2,0.727
63,3,1.0
64,1,0.714
64,2,0.771
64,3,1.0
65,1,0.751
65,2,0.809
65,3,1.0
